loan_id;account_id;date;amount;duration;payments;status
5314;1787;05/07/1993;96396;12;8033;-1
5316;1801;11/07/1993;165960;36;4610;1
6863;9188;28/07/1993;127080;60;2118;1
5325;1843;03/08/1993;105804;36;2939;1
7240;11013;06/09/1993;274740;60;4579;1
6687;8261;13/09/1993;87840;24;3660;1
7284;11265;15/09/1993;52788;12;4399;1
6111;5428;24/09/1993;174744;24;7281;-1
7235;10973;13/10/1993;154416;48;3217;1
5997;4894;04/11/1993;117024;24;4876;1
7121;10364;10/11/1993;21924;36;609;1
6077;5270;22/11/1993;79608;24;3317;1
6228;6034;01/12/1993;464520;60;7742;-1
6356;6701;08/12/1993;95400;36;2650;1
5523;2705;08/12/1993;93888;36;2608;1
6456;7123;09/12/1993;47016;12;3918;1
7104;10320;13/12/1993;259740;60;4329;1
6820;9034;16/12/1993;38148;12;3179;1
6876;9236;21/12/1993;86616;12;7218;1
7097;10266;23/12/1993;75624;24;3151;-1
4959;2;05/01/1994;80952;24;3373;1
6499;7401;05/01/1994;80952;24;3373;1
5479;2486;10/01/1994;24516;12;2043;1
5170;1071;20/01/1994;253200;60;4220;1
6721;8475;21/01/1994;21072;24;878;1
7259;11111;31/01/1994;108144;36;3004;1
5285;1603;06/02/1994;78936;12;6578;1
5189;1166;07/02/1994;149040;48;3105;1
6650;8073;17/02/1994;49320;12;4110;-1
7226;10940;23/02/1994;197748;36;5493;1
6087;5313;27/02/1994;300660;60;5011;1
7262;11135;01/03/1994;182628;36;5073;1
5519;2694;08/03/1994;91632;12;7636;1
6577;7753;11/03/1994;51696;24;2154;1
6509;7445;15/03/1994;55368;24;2307;1
6520;7485;16/03/1994;91200;24;3800;1
6699;8330;30/03/1994;7656;24;319;1
6336;6555;31/03/1994;212400;36;5900;1
7055;10079;06/04/1994;167100;60;2785;1
6103;5385;07/04/1994;149340;60;2489;1
6202;5891;18/04/1994;65184;12;5432;1
7066;10131;02/05/1994;215388;36;5983;-1
6696;8321;09/05/1994;89040;60;1484;1
6072;5256;10/05/1994;193968;36;5388;1
5130;813;11/05/1994;24312;12;2026;1
5568;2933;17/05/1994;272520;60;4542;1
6678;8173;20/05/1994;80340;12;6695;1
6998;9833;21/05/1994;97632;12;8136;1
6580;7769;22/05/1994;196080;48;4085;1
6316;6473;26/05/1994;76908;12;6409;-1
6512;7454;26/05/1994;63312;48;1319;1
6407;6930;26/05/1994;25944;24;1081;1
5002;173;31/05/1994;104808;12;8734;1
6647;8051;01/06/1994;208320;48;4340;1
7137;10439;03/06/1994;151560;24;6315;1
6903;9337;04/06/1994;52128;24;2172;1
5918;4576;04/06/1994;300204;36;8339;1
6642;8027;05/06/1994;77640;12;6470;1
6210;5927;06/06/1994;87216;48;1817;-1
6279;6273;07/06/1994;87360;24;3640;1
7249;11065;12/06/1994;69360;48;1445;1
6736;8558;14/06/1994;288360;60;4806;1
6112;5442;17/06/1994;174744;24;7281;-1
5319;1811;23/06/1994;239460;60;3991;1
6596;7844;25/06/1994;91584;24;3816;1
5837;4260;29/06/1994;244560;60;4076;1
5657;3354;05/07/1994;4980;12;415;1
5533;2762;05/07/1994;111384;24;4641;1
6232;6051;08/07/1994;276660;36;7685;-1
6888;9265;11/07/1994;39576;12;3298;1
6066;5228;11/07/1994;173808;24;7242;1
5549;2824;16/07/1994;50460;60;841;1
5060;426;19/07/1994;252060;60;4201;-1
6004;4937;23/07/1994;143904;24;5996;1
5126;790;24/07/1994;208128;48;4336;-1
7220;10911;28/07/1994;131292;36;3647;1
6668;8129;30/07/1994;74736;36;2076;1
5395;2176;30/07/1994;299088;36;8308;-1
6836;9093;03/08/1994;189300;60;3155;1
6064;5215;04/08/1994;14628;12;1219;1
6919;9403;05/08/1994;120888;36;3358;1
6841;9104;07/08/1994;172080;48;3585;1
6038;5120;10/08/1994;323472;48;6739;1
6729;8519;11/08/1994;74688;12;6224;1
7198;10788;23/08/1994;45768;12;3814;1
6686;8260;25/08/1994;224604;36;6239;1
5836;4259;27/08/1994;79632;24;3318;1
7061;10105;27/08/1994;121896;24;5079;1
5595;3050;02/09/1994;82896;12;6908;1
5723;3674;10/09/1994;23628;12;1969;1
6120;5481;11/09/1994;209184;48;4358;1
6895;9307;19/09/1994;41904;12;3492;1
5882;4427;26/09/1994;87816;12;7318;1
5754;3834;28/09/1994;23052;12;1921;1
6594;7824;28/09/1994;189696;24;7904;-1
6738;8566;29/09/1994;230220;36;6395;-1
6624;7965;30/09/1994;71460;12;5955;1
6216;5952;30/09/1994;141240;24;5885;1
6229;6040;02/10/1994;11736;24;489;1
5887;4448;03/10/1994;192744;36;5354;1
6808;8982;12/10/1994;227880;36;6330;1
6297;6363;25/10/1994;17508;12;1459;1
5161;1012;28/10/1994;98184;24;4091;1
5390;2167;30/10/1994;170256;24;7094;1
6150;5622;02/11/1994;83016;12;6918;1
6223;5991;03/11/1994;61056;48;1272;1
5032;290;03/11/1994;123696;48;2577;1
6253;6148;04/11/1994;59760;24;2490;1
6460;7133;06/11/1994;48672;36;1352;1
6645;8041;06/11/1994;140400;36;3900;1
5176;1106;12/11/1994;192552;24;8023;-1
5269;1527;19/11/1994;164052;36;4557;-1
5351;1978;04/12/1994;205200;36;5700;1
5861;4337;08/12/1994;51408;24;2142;1
5450;2345;11/12/1994;199680;60;3328;1
7142;10451;19/12/1994;482940;60;8049;-1
6306;6425;20/12/1994;36684;12;3057;1
6272;6226;20/12/1994;398640;60;6644;1
5044;344;21/12/1994;100980;60;1683;1
5576;2962;21/12/1994;31248;12;2604;1
7192;10738;21/12/1994;115992;36;3222;1
5739;3747;02/01/1995;76380;12;6365;1
6526;7523;03/01/1995;288468;36;8013;1
5624;3166;03/01/1995;177744;48;3703;-1
6244;6118;08/01/1995;270648;36;7518;-1
5131;816;08/01/1995;48624;24;2026;1
6960;9640;11/01/1995;76416;24;3184;1
6358;6715;14/01/1995;137880;60;2298;-1
5418;2245;16/01/1995;347952;48;7249;1
6598;7857;18/01/1995;68112;12;5676;1
5464;2419;30/01/1995;95808;12;7984;1
6591;7819;02/02/1995;20832;48;434;1
5724;3678;05/02/1995;316140;60;5269;-1
6315;6472;06/02/1995;43164;12;3597;1
5876;4413;08/02/1995;221280;48;4610;1
6986;9750;11/02/1995;151728;48;3161;-1
6294;6353;12/02/1995;79920;60;1332;1
5132;817;17/02/1995;538500;60;8975;1
5877;4414;23/02/1995;97224;24;4051;1
6227;6030;04/03/1995;28248;24;1177;1
7241;11021;04/03/1995;168984;24;7041;-1
6737;8564;11/03/1995;76680;24;3195;1
7004;9869;15/03/1995;331560;60;5526;1
6169;5700;16/03/1995;103680;60;1728;-1
5208;1247;16/03/1995;99696;48;2077;-1
6694;8316;19/03/1995;134784;24;5616;1
5599;3064;21/03/1995;15420;12;1285;1
6546;7607;27/03/1995;31728;24;1322;1
5414;2228;29/03/1995;185952;48;3874;1
5453;2361;01/04/1995;156672;36;4352;1
5740;3752;02/04/1995;18564;12;1547;1
5804;4079;05/04/1995;158976;48;3312;1
6745;8625;10/04/1995;47304;24;1971;1
6950;9591;11/04/1995;104712;24;4363;1
6996;9828;13/04/1995;126600;24;5275;1
5352;1993;15/04/1995;68400;12;5700;-1
6151;5628;25/04/1995;225420;60;3757;1
