loan_id,account_id,status,loan_date,loan_amount,duration,payments,gender,ownership_count,district_id,num_inhabitants,num_municipalities_with_inhabitants<499,num_municipalities_with_inhabitants_500-1999,num_municipalities_with_inhabitants_2000-9999,num_municipalities_with_inhabitants>10000,num_cities,ratio_urban_inhabitants,average_salary,unemployment_rate_95,unemployment_rate_96,num_entrepreneurs_per_1000_inhabitants,num_crimes_95,num_crimes_96,date_max,date_min,date_age_days,operation_count,operation_count_a,operation_count_b,operation_count_c,operation_count_d,operation_count_e,operation_count_f,operation_mean_a,operation_mean_b,operation_mean_c,operation_mean_d,operation_mean_e,operation_mean_f,operation_std_a,operation_std_b,operation_std_c,operation_std_d,operation_std_e,operation_std_f,operation_cov_a,operation_cov_b,operation_cov_c,operation_cov_d,operation_cov_e,operation_cov_f,amount_mean,amount_min,amount_max,amount_std,amount_last,amount_cov,amount_abs_min,amount_range,balance_mean,balance_min,balance_max,balance_std,balance_last,balance_cov,balance_abs_min,balance_range,type_count_withdrawal,type_count_credit,type_mean_withdrawal,type_mean_credit,type_std_withdrawal,type_std_credit,type_cov_withdrawal,type_cov_credit,days_last_trans_loan,last_balance_per_loan,max_balance_per_loan,date_age_months,balance_per_month,transactions_per_month,owner_age_at_loan,account_months_at_loan
4959,2,1,1994-01-05,80952,24,3373,M,2,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1993-12-31,1993-02-26,308,54,2,10,27,5,0,10,0.037037037037037035,0.18518518518518517,0.5,0.09259259259259259,0.0,0.18518518518518517,0.18885257457751053,0.3884477215445007,0.5,0.28986066374997266,0.0,0.3884477215445007,0.03633822501747029,0.15373864430468212,0.25471698113207547,0.08560447239692517,0.0,0.15373864430468212,515.5685185185185,-22400.0,30354.0,11895.998464916347,138.3,141514779.47729206,13.5,52754.0,32590.62407407406,1100.0,67529.6,12061.705681876094,27855.2,145484743.95620197,1100.0,66429.6,32,22,0.5925925925925926,0.4074074074074074,0.49135182079339257,0.4913518207933925,0.2459818308874912,0.2459818308874912,5,0.3440952663306651,0.8341931020851864,10.266666666666667,6470.415584415585,5.259740259740259,48,10.433333333333334
4961,19,-1,1996-04-29,30276,12,2523,F,1,21,103347,87,16,7,1,7,67.0,9104,1.51,2.07,123,2299,2354,1996-04-10,1995-04-07,369,80,9,13,34,0,0,24,0.1125,0.1625,0.425,0.0,0.0,0.3,0.31598061649411346,0.36890886408434265,0.4943429983321297,0.0,0.0,0.45825756949558394,0.10110759493670884,0.13781645569620252,0.2474683544303797,0.0,0.0,0.21265822784810123,198.18000000000006,-18200.0,22708.0,9205.689080326661,15139.0,84744711.44364557,14.6,40908.0,25197.092499999988,715.0,58157.5,15039.248404932327,15854.0,226178992.58525944,715.0,57442.5,34,46,0.425,0.575,0.4943429983321297,0.4943429983321297,0.2474683544303797,0.24746835443037976,19,0.5236490949927335,1.9209109525696921,12.3,4670.121951219512,6.504065040650406,57,12.933333333333334
4973,67,1,1996-05-02,165960,24,6915,F,1,16,93931,74,21,10,1,8,56.9,8427,1.12,1.54,107,1874,1913,1996-04-30,1994-10-19,559,125,1,18,60,28,0,18,0.008,0.144,0.48,0.224,0.0,0.144,0.0890842298052803,0.351089732119867,0.4995998398718718,0.4169220550654523,0.0,0.351089732119867,0.007999999999999993,0.12425806451612896,0.2516129032258063,0.17522580645161298,0.0,0.12425806451612896,189.51520000000042,-41400.0,62235.0,20882.029392885444,114.1,436059151.5653316,14.6,103635.0,52523.24480000004,700.0,107069.6,20955.646998372442,23703.8,439139141.12039596,700.0,106369.6,88,37,0.704,0.296,0.45649096376598747,0.4564909637659874,0.2100645161290322,0.2100645161290322,2,0.14282839238370693,0.6451530489274524,18.633333333333333,5708.565295169947,6.708407871198569,51,18.7
4996,132,1,1996-11-06,88440,12,7370,F,2,40,128118,9,16,6,3,8,85.3,9317,6.49,7.07,97,6949,6872,1996-10-31,1996-05-11,173,31,10,0,15,0,0,6,0.3225806451612903,0.0,0.4838709677419355,0.0,0.0,0.1935483870967742,0.4674637660061109,0.0,0.4997397866074087,0.0,0.0,0.39507899077148034,0.22580645161290316,0.0,0.2580645161290323,0.0,0.0,0.16129032258064513,2545.4129032258065,-35100.0,47976.0,21020.897593232345,-100.0,441878135.62516135,100.0,83076.0,62778.09032258065,200.0,103239.0,21638.258869671175,78907.6,468214246.91090316,200.0,103039.0,15,16,0.4838709677419355,0.5161290322580645,0.4997397866074087,0.4997397866074087,0.2580645161290323,0.2580645161290323,6,0.8922161917684306,1.1673337856173678,5.766666666666667,17868.034682080925,5.375722543352601,51,5.966666666666667
5002,173,1,1994-05-31,104808,12,8734,M,2,66,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247,2103,1994-05-25,1993-11-26,180,30,7,0,10,8,0,5,0.23333333333333334,0.0,0.3333333333333333,0.26666666666666666,0.0,0.16666666666666666,0.4229525846816506,0.0,0.4714045207910316,0.44221663871405337,0.0,0.37267799624996495,0.18505747126436764,0.0,0.2298850574712643,0.20229885057471272,0.0,0.14367816091954022,933.8466666666665,-16400.0,25970.0,10052.730130005115,-3900.0,101057383.06671269,14.6,42370.0,38709.829999999994,500.0,57865.3,11517.17524821232,28015.4,132645325.69803447,500.0,57365.3,18,12,0.6,0.4,0.48989794855663565,0.48989794855663565,0.24827586206896562,0.24827586206896562,6,0.26730211434241663,0.5521076635371346,6.0,9560.883333333333,5.0,54,6.2
5032,290,1,1994-11-03,123696,48,2577,M,1,56,124605,11,42,14,1,8,46.0,8772,4.69,4.98,126,2854,3158,1994-10-31,1993-12-02,333,61,12,0,27,12,0,10,0.19672131147540983,0.0,0.4426229508196721,0.19672131147540983,0.0,0.16393442622950818,0.3975198574748243,0.0,0.49669696418174153,0.39751985747482427,0.0,0.37021605870938407,0.1606557377049181,0.0,0.2508196721311476,0.16065573770491803,0.0,0.13934426229508196,412.90491803278724,-32100.0,48476.0,15349.418522400409,113.7,235604648.97580874,14.6,80576.0,49084.381967213114,300.0,89822.2,20572.457529737083,25201.8,423226008.81283605,300.0,89522.2,39,22,0.639344262295082,0.36065573770491804,0.4801907710123544,0.4801907710123544,0.23442622950819664,0.23442622950819664,3,0.20373981373690336,0.7261528262837925,11.1,8065.063063063063,5.495495495495495,54,11.2
5044,344,1,1994-12-21,100980,60,1683,M,1,54,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721,18696,1994-12-10,1993-12-01,374,70,15,0,34,9,0,12,0.21428571428571427,0.0,0.4857142857142857,0.12857142857142856,0.0,0.17142857142857143,0.4103259033241449,0.0,0.4997958767010259,0.33472498611028517,0.0,0.37688302737922624,0.17080745341614909,0.0,0.2534161490683231,0.1136645962732919,0.0,0.1440993788819876,673.3971428571427,-22900.0,20922.0,8168.072604859275,-4739.0,66717410.078252584,14.6,43822.0,35614.74428571429,600.0,53376.7,9576.327716908689,48637.7,91706052.54163355,600.0,52776.7,43,27,0.6142857142857143,0.38571428571428573,0.4867635724971663,0.48676357249716634,0.24037267080745348,0.24037267080745348,11,0.48165676371558724,0.5285868488809665,12.466666666666667,4233.42513368984,5.614973262032086,29,12.833333333333334
5045,347,-1,1995-05-01,187224,24,7801,M,1,1,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677,99107,1995-04-30,1993-12-13,503,88,21,0,50,0,0,17,0.23863636363636365,0.0,0.5681818181818182,0.0,0.0,0.19318181818181818,0.4262499848525239,0.0,0.4953294254023493,0.0,0.0,0.39479438104636844,0.18377742946708467,0.0,0.24817136886102406,0.0,0.0,0.15765412748171373,577.6386363636365,-51900.0,46293.0,17258.630286253032,75.9,297860319.3575705,0.2,98193.0,42084.311363636334,-243.3,92571.3,22038.481589086692,50846.7,485694670.75251305,200.0,92814.6,50,38,0.5681818181818182,0.4318181818181818,0.4953294254023493,0.4953294254023492,0.24817136886102406,0.24817136886102398,1,0.2715821689526984,0.494441417766953,16.766666666666666,5535.662027833003,5.248508946322068,47,16.8
5060,426,-1,1994-07-19,252060,60,4201,F,1,60,110643,49,41,4,1,4,51.9,8441,3.45,4.48,115,1879,2252,1994-07-14,1993-11-29,227,61,19,0,25,10,0,7,0.3114754098360656,0.0,0.4098360655737705,0.16393442622950818,0.0,0.11475409836065574,0.46309661940411595,0.0,0.49180327868852464,0.3702160587093841,0.0,0.3187249523807144,0.21803278688524594,0.0,0.24590163934426235,0.13934426229508198,0.0,0.1032786885245901,1149.122950819672,-41700.0,49937.0,16589.84184113272,-13990.0,275222852.31379783,8.2,91637.0,57340.508196721305,900.0,106259.6,21418.91385588366,70096.5,458769870.7657651,900.0,105359.6,35,26,0.5737704918032787,0.4262295081967213,0.49452797144256905,0.49452797144256905,0.2486338797814207,0.24863387978142068,5,0.2780945013092121,0.4215647068158375,7.566666666666666,13924.176211453745,8.061674008810574,28,7.733333333333333
5082,501,1,1996-10-24,262980,60,4383,F,1,13,53921,61,22,1,1,2,41.3,8598,2.77,3.26,123,1597,1875,1996-10-16,1995-10-21,361,56,13,0,32,0,0,11,0.23214285714285715,0.0,0.5714285714285714,0.0,0.0,0.19642857142857142,0.42219965776917456,0.0,0.4948716593053935,0.0,0.0,0.397296347522982,0.18149350649350643,0.0,0.24935064935064943,0.0,0.0,0.16071428571428573,1358.5964285714285,-22300.0,44022.0,13169.319978136016,43444.0,173430988.68653244,14.6,66322.0,41729.616071428565,900.0,78574.3,16330.17322231543,76081.3,266674557.47082803,900.0,77674.3,32,24,0.5714285714285714,0.42857142857142855,0.4948716593053935,0.49487165930539345,0.24935064935064943,0.24935064935064935,8,0.2893045098486577,0.2987843181991026,12.033333333333333,6454.927977839336,4.653739612188366,30,12.3
